"ID"	"term"	"GeneRatio"	"BgRatio"	"pvalue"	"adj_pval"	"qvalue"	"genes"	"count"	"category"
"GO:0071395"	"cellular response to jasmonic acid stimulus"	"21/368"	"194/26032"	6.20001737047392e-13	2.35158902946032e-09	2.57884937243125e-10	"AT1G17380, AT1G30135, AT1G70700, AT1G72450, AT1G72910, AT1G74950, AT2G34600, AT2G38240, AT2G43530, AT2G46650, AT3G15356, AT3G15500, AT3G22275, AT3G27809, AT3G50280, AT3G55970, AT3G56400, AT5G05600, AT5G13220, AT5G14700, AT5G47220"	21	"BP"
"GO:2000022"	"regulation of jasmonic acid mediated signaling pathway"	"12/368"	"44/26032"	7.48244428069601e-13	2.35158902946032e-09	2.57884937243125e-10	"AT1G17380, AT1G30135, AT1G70700, AT1G72450, AT1G74950, AT2G34600, AT2G38240, AT3G22275, AT3G55970, AT3G56400, AT5G05600, AT5G13220"	12	"BP"
"GO:0071398"	"cellular response to fatty acid"	"21/368"	"198/26032"	9.25657520331116e-13	2.35158902946032e-09	2.57884937243125e-10	"AT1G17380, AT1G30135, AT1G70700, AT1G72450, AT1G72910, AT1G74950, AT2G34600, AT2G38240, AT2G43530, AT2G46650, AT3G15356, AT3G15500, AT3G22275, AT3G27809, AT3G50280, AT3G55970, AT3G56400, AT5G05600, AT5G13220, AT5G14700, AT5G47220"	21	"BP"
"GO:0009867"	"jasmonic acid mediated signaling pathway"	"20/368"	"186/26032"	2.5173157846162e-12	4.79634102200662e-09	5.25986508680332e-10	"AT1G17380, AT1G30135, AT1G70700, AT1G72450, AT1G72910, AT1G74950, AT2G34600, AT2G38240, AT2G43530, AT2G46650, AT3G15500, AT3G22275, AT3G27809, AT3G50280, AT3G55970, AT3G56400, AT5G05600, AT5G13220, AT5G14700, AT5G47220"	20	"BP"
"GO:0016143"	"S-glycoside metabolic process"	"18/368"	"234/26032"	7.42045851927029e-09	8.07913840280154e-06	8.85991588616634e-07	"AT1G12610, AT1G16410, AT1G52000, AT1G52400, AT1G60270, AT1G62560, AT2G04080, AT2G39330, AT2G43100, AT2G44460, AT3G19710, AT3G25717, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT4G27560, AT5G14200"	18	"BP"
"GO:0019757"	"glycosinolate metabolic process"	"18/368"	"234/26032"	7.42045851927029e-09	8.07913840280154e-06	8.85991588616634e-07	"AT1G12610, AT1G16410, AT1G52000, AT1G52400, AT1G60270, AT1G62560, AT2G04080, AT2G39330, AT2G43100, AT2G44460, AT3G19710, AT3G25717, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT4G27560, AT5G14200"	18	"BP"
"GO:0019760"	"glucosinolate metabolic process"	"18/368"	"234/26032"	7.42045851927029e-09	8.07913840280154e-06	8.85991588616634e-07	"AT1G12610, AT1G16410, AT1G52000, AT1G52400, AT1G60270, AT1G62560, AT2G04080, AT2G39330, AT2G43100, AT2G44460, AT3G19710, AT3G25717, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT4G27560, AT5G14200"	18	"BP"
"GO:0009695"	"jasmonic acid biosynthetic process"	"8/368"	"32/26032"	1.15634745380607e-08	1.10161719921614e-05	1.20807878726582e-06	"AT1G17420, AT1G20510, AT1G72520, AT2G06050, AT3G25760, AT3G25770, AT3G45140, AT5G42650"	8	"BP"
"GO:0016144"	"S-glycoside biosynthetic process"	"9/368"	"53/26032"	5.2379679326732e-08	3.62912975811453e-05	3.97985314693064e-06	"AT1G16410, AT1G62560, AT2G43100, AT3G19710, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G14200"	9	"BP"
"GO:0019758"	"glycosinolate biosynthetic process"	"9/368"	"53/26032"	5.2379679326732e-08	3.62912975811453e-05	3.97985314693064e-06	"AT1G16410, AT1G62560, AT2G43100, AT3G19710, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G14200"	9	"BP"
"GO:0019761"	"glucosinolate biosynthetic process"	"9/368"	"53/26032"	5.2379679326732e-08	3.62912975811453e-05	3.97985314693064e-06	"AT1G16410, AT1G62560, AT2G43100, AT3G19710, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G14200"	9	"BP"
"GO:1901657"	"glycosyl compound metabolic process"	"19/368"	"300/26032"	6.54683240930166e-08	4.1579793101886e-05	4.55981134472414e-06	"AT1G12610, AT1G16410, AT1G52000, AT1G52400, AT1G60270, AT1G62560, AT2G04080, AT2G39330, AT2G43100, AT2G44460, AT3G19710, AT3G25717, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT4G24350, AT4G27560, AT5G14200"	19	"BP"
"GO:0009694"	"jasmonic acid metabolic process"	"9/368"	"57/26032"	1.01173423600664e-07	5.93137579221669e-05	6.5045909586176e-06	"AT1G17420, AT1G20510, AT1G44350, AT1G72520, AT2G06050, AT3G25760, AT3G25770, AT3G45140, AT5G42650"	9	"BP"
"GO:1901659"	"glycosyl compound biosynthetic process"	"9/368"	"64/26032"	2.83908862285946e-07	0.000154555071376886	1.6949145613161e-05	"AT1G16410, AT1G62560, AT2G43100, AT3G19710, AT3G56400, AT3G58990, AT4G12030, AT4G13770, AT5G14200"	9	"BP"
"GO:0009636"	"response to toxic substance"	"14/368"	"180/26032"	3.06462522857713e-07	0.000155710700958847	1.70758767122122e-05	"AT1G04180, AT1G10370, AT1G32540, AT1G49860, AT1G61890, AT1G78370, AT2G04080, AT3G03190, AT3G23550, AT4G23600, AT4G32280, AT5G05600, AT5G24660, AT5G44050"	14	"BP"
"GO:0009966"	"regulation of signal transduction"	"21/368"	"421/26032"	7.25653831727083e-07	0.000345654214516788	3.79058646310068e-05	"AT1G17380, AT1G30135, AT1G51820, AT1G52400, AT1G70700, AT1G72450, AT1G74950, AT2G34600, AT2G38240, AT3G22275, AT3G25717, AT3G55970, AT3G56400, AT4G14400, AT4G23220, AT4G27657, AT4G34410, AT5G05600, AT5G12050, AT5G13220, AT5G57760"	21	"BP"
"GO:0023051"	"regulation of signaling"	"21/368"	"431/26032"	1.05757529008369e-06	0.000457835779134806	5.02081569911615e-05	"AT1G17380, AT1G30135, AT1G51820, AT1G52400, AT1G70700, AT1G72450, AT1G74950, AT2G34600, AT2G38240, AT3G22275, AT3G25717, AT3G55970, AT3G56400, AT4G14400, AT4G23220, AT4G27657, AT4G34410, AT5G05600, AT5G12050, AT5G13220, AT5G57760"	21	"BP"
"GO:0031407"	"oxylipin metabolic process"	"6/368"	"25/26032"	1.08130917449479e-06	0.000457835779134806	5.02081569911615e-05	"AT1G17420, AT1G72520, AT2G06050, AT2G33380, AT3G45140, AT5G42650"	6	"BP"
"GO:0010646"	"regulation of cell communication"	"21/368"	"442/26032"	1.57876324430523e-06	0.000633279970504014	6.94480895278864e-05	"AT1G17380, AT1G30135, AT1G51820, AT1G52400, AT1G70700, AT1G72450, AT1G74950, AT2G34600, AT2G38240, AT3G22275, AT3G25717, AT3G55970, AT3G56400, AT4G14400, AT4G23220, AT4G27657, AT4G34410, AT5G05600, AT5G12050, AT5G13220, AT5G57760"	21	"BP"
